Velocidade local,Dia da Semana,Cond Aderência,Zona,Tipos Vias,Estado Conservação,Factores Atmosféricos,Reg Circulação1,Intersecção Vias,Localizações,Luminosidade,Marca Via,Natureza,Obras Arte,Sinais,Sinais Luminosos,Tipo Piso,Traçado 1,Traçado 2,Traçado 3,Traçado 4,Via Trânsito,Periodo do Dia,Tipo de Acidente,Data
50.0,Segunda-Feira,Seco e limpo,CENTRO,Arruamento,Em bom estado,Bom tempo,Reversível,Em rotunda,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Cedência de passagem,Inexistentes,Betuminoso,Curva,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2018:01:15
70.0,Sábado       ,Seco e limpo,ALENTEJO,EN - Estrada Nacional,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Fora das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Proibição de ultrapassagem,Inexistentes,Betuminoso,Recta,Em patamar,Berma não pavimentada,Em plena via,Direita,Noite,ligeiro,2016:01:23
40.0,Segunda-Feira,Molhado,CENTRO,EM - Estrada Municipal,Em bom estado,Chuva,Dois sentidos,Em rotunda,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Em patamar,Berma não pavimentada,Na berma,Direita,Noite,ligeiro,2010:01:18
50.0,Sábado       ,Seco e limpo,ALGARVE,Arruamento,Em bom estado,Bom tempo,Reversível,Em rotunda,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Cedência de passagem,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Noite,ligeiro,2019:01:05
50.0,Sábado       ,Seco e limpo,AREA METROPOLITANA DE LISBOA,Arruamento,Em bom estado,Vento Forte,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2013:01:19
50.0,Segunda-Feira,Seco e limpo,NORTE,EN - Estrada Nacional,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2015:01:05
50.0,Domingo      ,Molhado,CENTRO,Arruamento,Em mau estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2011:01:16
50.0,Terça-Feira  ,Seco e limpo,NORTE,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Manha,ligeiro,2013:01:08
50.0,Domingo      ,Molhado,NORTE,Arruamento,Em bom estado,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Curva,Em patamar,Berma pavimentada,Em plena via,Direita,Madrugada,ligeiro,2010:01:03
50.0,Terça-Feira  ,Seco e limpo,CENTRO,EN - Estrada Nacional,Em estado regular,Bom tempo,Dois sentidos,Em cruzamento,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,A funcionar normalmente,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2015:01:27
90.0,Quinta-Feira ,Molhado,ALGARVE,EN - Estrada Nacional,Em bom estado,Chuva,NÃO DEFINIDO,NÃO DEFINIDO,Fora das localidades,Em pleno dia,NÃO DEFINIDO,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em Lomba,Sem berma ou impraticável,Em plena via,NÃO DEFINIDO,Tarde,ligeiro,2011:01:27
50.0,Terça-Feira  ,Seco e limpo,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,atropelamento,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2017:01:10
50.0,Sexta-Feira  ,Molhado,CENTRO,Arruamento,Em bom estado,Bom tempo,Sentido único,NÃO DEFINIDO,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,atropelamento,NÃO DEFINIDO,NÃO DEFINIDO,NÃO DEFINIDO,Betuminoso,Recta,Em patamar,Berma pavimentada,No passeio,Direita,Tarde,ligeiro,2016:01:01
50.0,Quinta-Feira ,Seco e limpo,NORTE,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Calçada,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2010:01:07
50.0,Quarta-Feira ,Seco e limpo,AREA METROPOLITANA DE LISBOA,Arruamento,Em bom estado,Bom tempo,Sentido único,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,despiste,NÃO DEFINIDO,Outros,A funcionar normalmente,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2011:01:12
50.0,Terça-Feira  ,Seco e limpo,CENTRO,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Em via de desaceleração,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2017:01:24
50.0,Domingo      ,Molhado,NORTE,EN - Estrada Nacional,Em bom estado,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Na berma,Direita,Tarde,ligeiro,2017:01:29
50.0,Quarta-Feira ,Seco e limpo,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Em cruzamento,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Cedência de passagem,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2017:01:04
50.0,Quinta-Feira ,Húmido,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Bom tempo,Sentido único,Em entroncamento,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,atropelamento,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Curva,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Manha,ligeiro,2014:01:16
40.0,Sexta-Feira  ,Molhado,ALGARVE,EM - Estrada Municipal,Em estado regular,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma não pavimentada,Em plena via,Direita,Noite,ligeiro,2015:01:16
50.0,Quarta-Feira ,Seco e limpo,NORTE,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Em cruzamento,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Stop,Inexistentes,Calçada,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2017:01:11
50.0,Segunda-Feira,Molhado,NORTE,Outra Via,Em bom estado,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2017:01:30
50.0,Terça-Feira  ,Seco e limpo,NORTE,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Em cruzamento,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,atropelamento,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2014:01:21
50.0,Quarta-Feira ,Seco e limpo,NORTE,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Em entroncamento,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Stop,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Manha,ligeiro,2019:01:02
50.0,Terça-Feira  ,Húmido,NORTE,Arruamento,Em estado regular,Chuva,Dois sentidos,Em via de desaceleração,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,atropelamento,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Manha,ligeiro,2010:01:12
50.0,Terça-Feira  ,Húmido,CENTRO,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Aurora ou crepúsculo,Com marcas - separadoras de sentido de trânsito,colisão,Viaduto/Ponte,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em Lomba,Berma não pavimentada,Em plena via,Direita,Manha,ligeiro,2012:01:17
90.0,Terça-Feira  ,Molhado,ALENTEJO,EN - Estrada Nacional,Em bom estado,Chuva,Dois sentidos,Fora da intersecção,Fora das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Na berma,Direita,Tarde,ligeiro,2011:01:04
40.0,Segunda-Feira,Seco e limpo,NORTE,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Noite,muito grave,2019:01:21
90.0,Sábado       ,Molhado,NORTE,Outra Via,Em bom estado,Chuva,Dois sentidos,Fora da intersecção,Fora das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Em patamar,Berma pavimentada,Na berma,Direita,Tarde,ligeiro,2013:01:12
120.0,Segunda-Feira,Com óleo,CENTRO,A  - Auto-Estrada,Em bom estado,Chuva,Sentido único,Fora da intersecção,Fora das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,Viaduto/Ponte,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2017:01:30
50.0,Terça-Feira  ,Molhado,NORTE,EN - Estrada Nacional,Em estado regular,Chuva,Dois sentidos,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Stop,A funcionar normalmente,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2019:01:29
90.0,Quarta-Feira ,Seco e limpo,AREA METROPOLITANA DE LISBOA,EN - Estrada Nacional,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Fora das localidades,"Noite, sem iluminação",Sem marcas rodoviárias ou pouco visíveis,despiste,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Na berma,Direita,Noite,ligeiro,2018:01:17
50.0,Domingo      ,Seco e limpo,CENTRO,Arruamento,Em bom estado,Bom tempo,Dois sentidos,NÃO DEFINIDO,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Stop,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2012:01:08
50.0,Segunda-Feira,Húmido,AREA METROPOLITANA DE LISBOA,Arruamento,Em bom estado,Chuva,Sentido único,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,Outros,A funcionar normalmente,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Esquerda,Manha,ligeiro,2014:01:27
50.0,Terça-Feira  ,Molhado,CENTRO,EN - Estrada Nacional,Em bom estado,Chuva,Sentido único,Em rotunda,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,Cedência de passagem,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2014:01:14
50.0,Sexta-Feira  ,Seco e limpo,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Em plena via,Central,Noite,ligeiro,2017:01:06
30.0,Segunda-Feira,Seco e limpo,CENTRO,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2019:01:28
50.0,Segunda-Feira,Seco e limpo,NORTE,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2018:01:29
90.0,Domingo      ,Seco e limpo,ALENTEJO,EN - Estrada Nacional,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Fora das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2016:01:24
50.0,Sexta-Feira  ,Húmido,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Bom tempo,Sentido único,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,despiste,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Curva,Em patamar,Sem berma ou impraticável,No passeio,Direita,Tarde,ligeiro,2012:01:06
50.0,Terça-Feira  ,Com gravilha ou areia,CENTRO,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Em entroncamento,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2011:01:25
50.0,Quarta-Feira ,Molhado,AREA METROPOLITANA DE LISBOA,EN - Estrada Nacional,Em estado regular,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,despiste,NÃO DEFINIDO,Outros,A funcionar normalmente,Betuminoso,Curva,Em patamar,Sem berma ou impraticável,Em plena via,Esquerda,Manha,ligeiro,2019:01:30
50.0,Segunda-Feira,Húmido,NORTE,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2014:01:20
70.0,Terça-Feira  ,Seco e limpo,NORTE,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Esquerda,Noite,grave,2017:01:10
120.0,Domingo      ,Seco e limpo,AREA METROPOLITANA DE LISBOA,A  - Auto-Estrada,Em bom estado,Bom tempo,Sentido único,Fora da intersecção,Fora das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,despiste,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Na berma,Direita,Manha,ligeiro,2012:01:29
50.0,Quinta-Feira ,Seco e limpo,CENTRO,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Noite,ligeiro,2010:01:14
50.0,Sábado       ,Húmido,NORTE,EN - Estrada Nacional,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Esquerda,Noite,ligeiro,2011:01:15
50.0,Sábado       ,Húmido,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Stop,Inexistentes,Betuminoso,Curva,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2011:01:29
50.0,Quinta-Feira ,Molhado,CENTRO,EN - Estrada Nacional,Em bom estado,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,atropelamento,NÃO DEFINIDO,Passagem de peões,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Em plena via,Direita,Noite,ligeiro,2015:01:29
50.0,Sexta-Feira  ,Seco e limpo,NORTE,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Em entroncamento,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,atropelamento,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2018:01:19
50.0,Quinta-Feira ,Seco e limpo,NORTE,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,atropelamento,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Tarde,grave,2012:01:05
70.0,Sexta-Feira  ,Seco e limpo,CENTRO,EM - Estrada Municipal,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Fora das localidades,"Noite, sem iluminação",Sem marcas rodoviárias ou pouco visíveis,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Berma não pavimentada,Em plena via,Direita,Noite,ligeiro,2018:01:19
50.0,Segunda-Feira,Seco e limpo,AREA METROPOLITANA DE LISBOA,Arruamento,Em estado regular,NÃO DEFINIDO,Dois sentidos,Em cruzamento,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Stop,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2015:01:26
50.0,Segunda-Feira,Seco e limpo,AREA METROPOLITANA DE LISBOA,EN - Estrada Nacional,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2015:01:05
20.0,Segunda-Feira,Seco e limpo,AREA METROPOLITANA DE LISBOA,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Em entroncamento,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betão de cimento,Recta,Em patamar,Sem berma ou impraticável,Em parque de estacionamento,Direita,Manha,ligeiro,2018:01:22
70.0,Sexta-Feira  ,Seco e limpo,AREA METROPOLITANA DE LISBOA,EN - Estrada Nacional,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,A funcionar normalmente,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2012:01:20
50.0,Domingo      ,Molhado,AREA METROPOLITANA DE LISBOA,Arruamento,Em mau estado,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,atropelamento,NÃO DEFINIDO,Outros,A funcionar normalmente,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2013:01:13
50.0,Quarta-Feira ,Húmido,NORTE,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,despiste,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2019:01:23
50.0,Quinta-Feira ,Molhado,AREA METROPOLITANA DE LISBOA,Arruamento,Em bom estado,Chuva,Dois sentidos,Em via de aceleração,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Curva,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Noite,ligeiro,2019:01:31
50.0,Terça-Feira  ,Molhado,AREA METROPOLITANA DE LISBOA,EN - Estrada Nacional,Em bom estado,Chuva,Dois sentidos,Em entroncamento,Dentro das localidades,Aurora ou crepúsculo,Com marcas - separadoras de sentido e de vias de trânsito,despiste,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Curva,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Manha,ligeiro,2015:01:20
50.0,Sexta-Feira  ,Seco e limpo,CENTRO,ER - Estrada Regional,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Manha,ligeiro,2019:01:18
50.0,Segunda-Feira,Molhado,NORTE,Arruamento,Em bom estado,Chuva,Dois sentidos,Em via de aceleração,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,despiste,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2018:01:22
50.0,Sábado       ,Seco e limpo,NORTE,Arruamento,Em estado regular,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, sem iluminação",Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Noite,ligeiro,2019:01:26
50.0,Quinta-Feira ,Húmido,CENTRO,Arruamento,Em estado regular,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Com inclinação,Berma não pavimentada,Em plena via,Direita,Manha,ligeiro,2019:01:24
50.0,Sexta-Feira  ,Seco e limpo,NORTE,Arruamento,Em estado regular,Bom tempo,Sentido único,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido e de vias de trânsito,atropelamento,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Direita,Noite,ligeiro,2019:01:11
50.0,Sábado       ,Húmido,NORTE,Arruamento,Em bom estado,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Esquerda,Noite,ligeiro,2019:01:19
50.0,Domingo      ,Molhado,CENTRO,Arruamento,Em bom estado,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,atropelamento,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Noite,ligeiro,2015:01:18
50.0,Sexta-Feira  ,Húmido,NORTE,Arruamento,Em estado regular,Chuva,Dois sentidos,Fora da intersecção,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,atropelamento,NÃO DEFINIDO,NÃO DEFINIDO,A funcionar normalmente,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2013:01:18
50.0,Quinta-Feira ,Seco e limpo,CENTRO,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2018:01:18
40.0,Quarta-Feira ,Molhado,NORTE,Arruamento,Em bom estado,Chuva,Dois sentidos,Em rotunda,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,Cedência de passagem,Inexistentes,Betuminoso,Curva,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2014:01:29
50.0,Segunda-Feira,Húmido,NORTE,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,atropelamento,NÃO DEFINIDO,Passagem de peões,A funcionar normalmente,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2017:01:02
